no,tcode,fred_raw,description,group
93,5,EXSZUSx,Switzerland/U.S.ForeignExchangeRate,6
94,5,EXJPUSx,Japan/U.S.ForeignExchangeRate,6
95,5,EXUSUKx,U.S./U.K.ForeignExchangeRate,6
96,5,EXCAUSx,Canada/U.S.ForeignExchangeRate,6
97,6,WPSFD49207,PPI:FinishedGoods,7
98,6,WPSFD49502,PPI:FinishedConsumerGoods,7
99,6,WPSID61,PPI:IntermediateMaterials,7
100,6,WPSID62,PPI:CrudeMaterials,7
101,6,OILPRICEx,"CrudeOil,splicedWTIandCushing",7
102,6,PPICMM,PPI:Metalsandmetalproducts:,7
103,6,CPIAUCSL,CPI:AllItems,7
104,6,CPIAPPSL,CPI:Apparel,7
105,6,CPITRNSL,CPI:Transportation,7
106,6,CPIMEDSL,CPI:MedicalCare,7
107,6,CUSR0000SAC,CPI:Commodities,7
108,6,CUSR0000SAD,CPI:Durables,7
109,6,CUSR0000SAS,CPI:Services,7
110,6,CPIULFSL,CPI:AllItemsLessFood,7
111,6,CUSR0000SA0L2,CPI:Allitemslessshelter,7
112,6,CUSR0000SA0L5,CPI:Allitemslessmedicalcare,7
113,6,PCEPI,PersonalCons. Expend.: ChainIndex,7
114,6,DDURRG3M086SBEA,PersonalCons. Exp: Durablegoods,7
115,6,DNDGRG3M086SBEA,PersonalCons. Exp: Nondurablegoods,7
116,6,DSERRG3M086SBEA,PersonalCons. Exp: Services,7
117,6,CES0600000008,AvgHourlyEarnings: Goods-Producing,2
118,6,CES2000000008,AvgHourlyEarnings: Construction,2
119,6,CES3000000008,AvgHourlyEarnings: Manufacturing,2
120,2,UMCSENTx,ConsumerSentimentIndex,4
121,6,MZMSL,MZMMoneyStock,5
122,6,DTCOLNVHFNM,ConsumerMotorVehicleLoansOutstanding,5
123,6,DTCTHFNM,TotalConsumerLoansandLeasesOutstanding,5
124,6,INVEST,SecuritiesinBankCreditatAllCommercialBanks,5
125,1,VXOCLSx,VXO,8
